Item,Price
Mocha Blanco Frappuccino,"$5,464.10"
Caramel Frappuccino,"$5,445.00"
Fr from frappuccino milk,"$5,456.10"
Java Chips Frappuccino,"$5,453.85"
Matcha Green Tea Frappuccino,"$5,689.47"
Has,"$2,500.00"
Black tea lemonade pineapple,"$2,825.00"
Iced Shaken Tea,"$3,100.00"
Iced Shaken Lemon Tea,"$3,100.00"
Iced Green Lemon Tea,"$5,496.15"
Iced Green Tea,"$5,168.00"
Frutilla green tea lemonade,"$3,960.00"
Iced Matcha,"$4,900.00"
Matcha Green Tea Lemonade,"$4,300.00"
Super minerals,"$3,300.00"
Energy Healthy,"$3,869.23"
Vitamin C Power,"$3,300.00"
Raspberry juice,"$2,500.00"
Orange juice,"$2,500.00"
Frutilla here,"$4,711.11"
Té Earl Grey,"$4,487.50"
Té Emperors Cloud and Mist,"$4,426.92"
Has mint citrus,"$4,446.43"
Té Chai Latte,"$4,558.54"
TE CHAI,"$4,455.56"
Matcha Green Tea Latte,"$4,900.00"
Té English Breakfast,"$4,437.04"
That youthberry,"$4,446.15"
Mug Black Matte 12 oz,"$6,900.00"
Mug White Matte 12 oz,"$6,900.00"
Cold Cup Plastic Logo 16 oz,"$6,900.00"
Stainless steel tumbler 12 oz,"$17,500.00"
Stainless steel tumbler 16 oz,"$17,500.00"
Mug Chile 16 oz,"$5,900.00"
Gluten -free chocolate bar,"$3,566.67"
Mix classic nuts,"$2,357.45"
Caramel cookie,"$1,914.55"
VEGAN ANTOJO,"$2,010.71"
Apple chips,"$1,794.74"
Papas Chip Mix,"$1,884.85"
Chewing gum,"$1,900.00"
Caramel Waffle,"$2,150.00"
CALLASTIC CHIP POPES,"$1,921.21"
Barra Wild Protein,"$1,364.00"
Barra Nature Valley Peanut,$500.00
Gum,"$2,550.00"
Cuchufli,"$1,680.00"
Oats in flakes,"$3,144.44"
Cochayuyo,"$3,666.67"
Almonds,"$2,180.00"
Recently,"$1,900.00"
Shortbread,"$1,500.00"
Chocolate almonds,"$1,900.00"
Almonds Créme Brulee,"$1,700.00"
Coffee candy,"$1,990.00"
Barra Snack Bar,"$1,400.00"
